green,red,IR,acc_x,acc_y,acc_z,sample_index
110960,208459,270286,-0.2333002035,3.888336725,9.176474671,216
111455,208504,270296,-0.09092725880000001,3.9290147091999996,9.1262253964,217
111835,208659,270375,-0.0681954441,3.9003008379999997,9.178867493599999,218
111403,208777,270524,0.0023928226,3.7674991837,9.1142612834,219
110124,208697,270488,-0.215354034,3.8691941442,9.104689993,220
108406,208504,270364,-0.041874395499999995,3.9888352742,9.1848495501,221
107091,208367,270268,-0.107677017,3.9158541848999997,9.164510558,222
106277,208158,270130,-0.2285145583,3.8356946278,9.1022971704,223
105838,208048,269997,-0.0071784678,3.7710884175999997,9.1453679772,224
105897,207951,269982,-0.08614161359999999,3.7962130549,9.1824567275,225
106179,207954,269940,-0.0849452023,3.8428730956,9.2303131795,226
106516,207879,269940,-0.17587246110000002,3.9050864832,9.1896351953,227
106785,207903,269945,-0.1962114532,3.9338003543999998,9.1848495501,228
107000,207962,269900,-0.1698904046,3.9421752335,9.1501536224,229
107194,207954,269928,-0.08614161359999999,3.8895331363000003,9.140582332,230
107435,207896,269922,-0.2225325018,3.8787654346,9.1597249128,231
107759,207953,269856,-0.21296121140000002,3.8668013215999997,9.1262253964,232
108148,207887,269918,-0.2237289131,3.8931223702,9.0664048314,233
108560,207986,269942,-0.021535403399999997,3.7555350706999997,9.1740818484,234
109009,208005,269926,-0.1806581063,3.7591243046000002,9.1848495501,235
109481,208002,269965,0.0011964113,3.9661034595,9.131011041599999,236
109933,208107,269930,-0.2823530668,3.8261233374,9.131011041599999,237
110398,208110,270012,-0.131605243,3.8476587407999996,9.0867438235,238
110617,208282,270097,-0.08374879099999999,3.9290147091999996,9.2231347117,239
109722,208329,270203,-0.04307080679999999,3.8751762007000004,9.1381895094,240
107880,208052,270093,-0.2165504453,3.9397824109,9.200402897,241
106193,207862,269943,-0.2548356069,3.816552047,9.0999043478,242
104995,207688,269814,-0.1483550012,3.9098721283999995,9.0723868879,243
104261,207559,269728,0.514456859,3.7280176108,9.1573320902,244
104044,207442,269599,-0.1136590735,3.8572300312,9.1154576947,245
104181,207444,269525,-0.1220339526,3.888336725,9.0987079365,246
104561,207399,269528,0.06340979890000001,3.8213376922,9.1118684608,247
104951,207467,269586,-0.19860427579999998,4.06779842,9.1022971704,248
105286,207458,269577,-0.1304088317,3.82851616,9.1441715659,249
105513,207456,269607,-0.1710868159,3.7746776515,9.1573320902,250
105825,207494,269608,-0.227318147,3.8524443859999997,9.0436730167,251
106172,207520,269615,-0.1088734283,3.7304104334000003,9.116654106,252
106559,207545,269599,-0.1292124204,3.8596228538,9.2027957196,253
107008,207545,269687,-0.0729810893,3.7722848289,9.1381895094,254
107515,207606,269615,-0.16151552549999998,3.8584264425,9.178867493599999,255
108004,207627,269646,-0.24646072779999997,3.7447673690000003,9.09272588,256
108519,207638,269660,-0.051445685899999996,3.9732819273,9.09272588,257
109046,207719,269794,-0.0334995164,3.8153556357,9.1393859207,258
109472,207727,269749,-0.0849452023,3.9086757171,9.1034935817,259
110088,207812,269809,-0.08374879099999999,3.8596228538,9.1597249128,260
110353,207911,270025,-0.0705882667,3.8201412809,9.1573320902,261
109518,208096,270117,-0.16749758199999998,3.9230326527000003,9.0939222913,262
107816,207879,270043,-0.35892339,3.82851616,9.1357966868,263
106117,207694,269851,-0.1088734283,3.8344982165,9.1872423727,264
104919,207537,269724,-0.0538385085,3.9613178143,9.095118702599999,265
104223,207357,269640,-0.015553346899999999,3.8668013215999997,9.1070828156,266
104024,207269,269563,-0.1866401628,3.9780675724999996,9.162117735399999,267
104205,207164,269552,-0.2679961312,3.8380874503999998,9.1334038642,268
104571,207203,269472,-0.11964113,3.8584264425,9.0520478958,269
104953,207252,269503,-0.3098705267,3.8835510798,9.153742856300001,270
105229,207260,269490,-0.1148554848,3.8368910391,9.1896351953,271
105565,207272,269514,0.015553346899999999,3.9469608787,9.162117735399999,272
105834,207300,269565,-0.2620140747,3.7148570865,9.095118702599999,273
106152,207371,269524,-0.0334995164,3.8668013215999997,9.1561356789,274
106536,207353,269568,-0.0873380249,3.7950166436,9.09272588,275
106992,207392,269611,-0.27517459899999996,3.8572300312,9.121439751199999,276
107481,207420,269584,-0.2105683888,3.8201412809,9.121439751199999,277
107962,207468,269621,-0.1806581063,3.8727833781,9.095118702599999,278
108482,207503,269721,-0.2081755662,3.8452659182,9.131011041599999,279
108987,207549,269697,-0.020338992099999998,3.7507494254999996,9.128618219,280
109513,207669,269782,-0.0777667345,3.7902309983999998,9.104689993,281
110101,207650,269810,-0.1459621786,3.9326039431,9.2662055185,282
110508,207788,269970,-0.0167497582,3.7758740628,9.0999043478,283
110206,207996,270064,-0.16630117069999997,3.9326039431,9.121439751199999,284
108696,207902,270037,-0.0753739119,3.9230326527000003,9.0628155975,285
